id,type,date,date_unixtime,actor,actor_id,action,title,text,text_entities,members,new_icon_emoji_id,from,from_id,file,file_name,file_size,thumbnail,thumbnail_file_size,media_type,sticker_emoji,mime_type,width,height,reply_to_message_id,edited,edited_unixtime,reactions,photo,photo_file_size,forwarded_from,forwarded_from_id,duration_seconds
1,service,2024-11-08T02:53:42,1731002022,청량고추 회원 소통방,channel2387903573,migrate_from_group,청량고추 회원 소통방,,[],,,,,,,,,,,,,,,,,,,,,,,
2,service,2024-11-08T02:53:59,1731002039,안녕하세요,user1184627325,invite_members,,,[],"[""Rose""]",,,,,,,,,,,,,,,,,,,,,,
37,service,2024-11-08T03:10:52,1731003052,안녕하세요,user1184627325,topic_edit,,,[],,0,,,,,,,,,,,,,,,,,,,,,
38,service,2024-11-08T03:14:44,1731003284,미스틱핸즈 Mystic Hands,user1081717103,remove_members,,,[],"[""미스틱핸즈 Mystic Hands""]",,,,,,,,,,,,,,,,,,,,,,
39,service,2024-11-08T03:14:50,1731003290,미스틱핸즈 Mystic Hands,user1081717103,invite_members,,,[],"[""미스틱핸즈 Mystic Hands""]",,,,,,,,,,,,,,,,,,,,,,
42,service,2024-11-08T03:15:33,1731003333,Yungu Lee,user6373690112,invite_members,,,[],"[""Yungu Lee""]",,,,,,,,,,,,,,,,,,,,,,
45,service,2024-11-08T03:15:59,1731003359,MassageHome_SPA [ Danang-Hoian-HoChiMinh-HaNoi-NhaTrang-PhuQuoc 🍀 24-hour service 🗣 Call me if I don't reply to your message 🍀,user6333082627,invite_members,,,[],"[""MassageHome_SPA [ Danang-Hoian-HoChiMinh-HaNoi-NhaTrang-PhuQuoc 🍀 24-hour service 🗣 Call me if I don't reply to your message 🍀""]",,,,,,,,,,,,,,,,,,,,,,
47,service,2024-11-08T03:16:25,1731003385,미스틱핸즈 Mystic Hands,user1081717103,remove_members,,,[],"[""미스틱핸즈 Mystic Hands""]",,,,,,,,,,,,,,,,,,,,,,
48,service,2024-11-08T03:16:34,1731003394,미스틱핸즈 Mystic Hands,user1081717103,invite_members,,,[],"[""미스틱핸즈 Mystic Hands""]",,,,,,,,,,,,,,,,,,,,,,
52,service,2024-11-08T03:18:30,1731003510,미스틱핸즈 Mystic Hands,user1081717103,remove_members,,,[],"[""미스틱핸즈 Mystic Hands""]",,,,,,,,,,,,,,,,,,,,,,
53,service,2024-11-08T03:18:38,1731003518,미스틱핸즈 Mystic Hands,user1081717103,invite_members,,,[],"[""미스틱핸즈 Mystic Hands""]",,,,,,,,,,,,,,,,,,,,,,
62,service,2024-11-08T03:21:40,1731003700,,user7019036881,invite_members,,,[],[null],,,,,,,,,,,,,,,,,,,,,,
64,service,2024-11-08T03:23:02,1731003782,미스틱핸즈 Mystic Hands,user1081717103,remove_members,,,[],"[""미스틱핸즈 Mystic Hands""]",,,,,,,,,,,,,,,,,,,,,,
65,service,2024-11-08T03:23:06,1731003786,미스틱핸즈 Mystic Hands,user1081717103,invite_members,,,[],"[""미스틱핸즈 Mystic Hands""]",,,,,,,,,,,,,,,,,,,,,,
69,service,2024-11-08T03:32:00,1731004320,굴 리트,user6123895870,invite_members,,,[],"[""굴 리트""]",,,,,,,,,,,,,,,,,,,,,,
71,service,2024-11-08T03:40:14,1731004814,Hoya Kim,user6199830279,invite_members,,,[],"[""Hoya Kim""]",,,,,,,,,,,,,,,,,,,,,,
73,service,2024-11-08T03:52:42,1731005562,David Lee,user2071335069,invite_members,,,[],"[""David Lee""]",,,,,,,,,,,,,,,,,,,,,,
75,service,2024-11-08T03:53:23,1731005603,Kim Ds,user5938193854,invite_members,,,[],"[""Kim Ds""]",,,,,,,,,,,,,,,,,,,,,,
77,service,2024-11-08T04:08:03,1731006483,껍던씸,user6290644049,invite_members,,,[],"[""껍던씸""]",,,,,,,,,,,,,,,,,,,,,,
79,service,2024-11-08T04:45:50,1731008750,지니 이,user6663281669,invite_members,,,[],"[""지니 이""]",,,,,,,,,,,,,,,,,,,,,,
81,service,2024-11-08T05:00:52,1731009652,mmzzmmzzmmzz,user6015457582,invite_members,,,[],"[""mmzzmmzzmmzz""]",,,,,,,,,,,,,,,,,,,,,,
83,service,2024-11-08T06:22:20,1731014540,방벳영원한시간,user6536825633,invite_members,,,[],"[""방벳영원한시간""]",,,,,,,,,,,,,,,,,,,,,,
85,service,2024-11-08T06:28:23,1731014903,58541 임,user5224010298,invite_members,,,[],"[""58541 임""]",,,,,,,,,,,,,,,,,,,,,,
