id,type,date,date_unixtime,actor,actor_id,action,title,text,text_entities,members,new_icon_emoji_id,from,from_id,file,file_name,file_size,thumbnail,thumbnail_file_size,media_type,sticker_emoji,mime_type,width,height,reply_to_message_id,edited,edited_unixtime,reactions,photo,photo_file_size,forwarded_from,forwarded_from_id,duration_seconds
1,service,[전화번호_마스킹]T02:53:42,[전화번호_마스킹],청량고추 회원 소통방,channel[전화번호_마스킹],migrate_from_group,청량고추 회원 소통방,,[],,,,,,,,,,,,,,,,,,,,,,,
2,service,[전화번호_마스킹]T02:53:59,[전화번호_마스킹],안녕하세요,user[전화번호_마스킹],invite_members,,,[],"[""Rose""]",,,,,,,,,,,,,,,,,,,,,,
37,service,[전화번호_마스킹]T03:10:52,[전화번호_마스킹],안녕하세요,user[전화번호_마스킹],topic_edit,,,[],,0,,,,,,,,,,,,,,,,,,,,,
38,service,[전화번호_마스킹]T03:14:44,[전화번호_마스킹],미스틱핸즈 Mystic Hands,user[전화번호_마스킹],remove_members,,,[],"[""미스틱핸즈 Mystic Hands""]",,,,,,,,,,,,,,,,,,,,,,
39,service,[전화번호_마스킹]T03:14:50,[전화번호_마스킹],미스틱핸즈 Mystic Hands,user[전화번호_마스킹],invite_members,,,[],"[""미스틱핸즈 Mystic Hands""]",,,,,,,,,,,,,,,,,,,,,,
42,service,[전화번호_마스킹]T03:15:33,[전화번호_마스킹],Yungu Lee,user[전화번호_마스킹],invite_members,,,[],"[""Yungu Lee""]",,,,,,,,,,,,,,,,,,,,,,
45,service,[전화번호_마스킹]T03:15:59,[전화번호_마스킹],MassageHome_SPA [ Danang-Hoian-HoChiMinh-HaNoi-NhaTrang-PhuQuoc 🍀 24-hour service 🗣 Call me if I don't reply to your message 🍀,user[전화번호_마스킹],invite_members,,,[],"[""MassageHome_SPA [ Danang-Hoian-HoChiMinh-HaNoi-NhaTrang-PhuQuoc 🍀 24-hour service 🗣 Call me if I don't reply to your message 🍀""]",,,,,,,,,,,,,,,,,,,,,,
47,service,[전화번호_마스킹]T03:16:25,[전화번호_마스킹],미스틱핸즈 Mystic Hands,user[전화번호_마스킹],remove_members,,,[],"[""미스틱핸즈 Mystic Hands""]",,,,,,,,,,,,,,,,,,,,,,
48,service,[전화번호_마스킹]T03:16:34,[전화번호_마스킹],미스틱핸즈 Mystic Hands,user[전화번호_마스킹],invite_members,,,[],"[""미스틱핸즈 Mystic Hands""]",,,,,,,,,,,,,,,,,,,,,,
52,service,[전화번호_마스킹]T03:18:30,[전화번호_마스킹],미스틱핸즈 Mystic Hands,user[전화번호_마스킹],remove_members,,,[],"[""미스틱핸즈 Mystic Hands""]",,,,,,,,,,,,,,,,,,,,,,
53,service,[전화번호_마스킹]T03:18:38,[전화번호_마스킹],미스틱핸즈 Mystic Hands,user[전화번호_마스킹],invite_members,,,[],"[""미스틱핸즈 Mystic Hands""]",,,,,,,,,,,,,,,,,,,,,,
62,service,[전화번호_마스킹]T03:21:40,[전화번호_마스킹],,user[전화번호_마스킹],invite_members,,,[],[null],,,,,,,,,,,,,,,,,,,,,,
64,service,[전화번호_마스킹]T03:23:02,[전화번호_마스킹],미스틱핸즈 Mystic Hands,user[전화번호_마스킹],remove_members,,,[],"[""미스틱핸즈 Mystic Hands""]",,,,,,,,,,,,,,,,,,,,,,
65,service,[전화번호_마스킹]T03:23:06,[전화번호_마스킹],미스틱핸즈 Mystic Hands,user[전화번호_마스킹],invite_members,,,[],"[""미스틱핸즈 Mystic Hands""]",,,,,,,,,,,,,,,,,,,,,,
69,service,[전화번호_마스킹]T03:32:00,[전화번호_마스킹],굴 리트,user[전화번호_마스킹],invite_members,,,[],"[""굴 리트""]",,,,,,,,,,,,,,,,,,,,,,
71,service,[전화번호_마스킹]T03:40:14,[전화번호_마스킹],Hoya Kim,user[전화번호_마스킹],invite_members,,,[],"[""Hoya Kim""]",,,,,,,,,,,,,,,,,,,,,,
73,service,[전화번호_마스킹]T03:52:42,[전화번호_마스킹],David Lee,user[전화번호_마스킹],invite_members,,,[],"[""David Lee""]",,,,,,,,,,,,,,,,,,,,,,
75,service,[전화번호_마스킹]T03:53:23,[전화번호_마스킹],Kim Ds,user[전화번호_마스킹],invite_members,,,[],"[""Kim Ds""]",,,,,,,,,,,,,,,,,,,,,,
77,service,[전화번호_마스킹]T04:08:03,[전화번호_마스킹],껍던씸,user[전화번호_마스킹],invite_members,,,[],"[""껍던씸""]",,,,,,,,,,,,,,,,,,,,,,
79,service,[전화번호_마스킹]T04:45:50,[전화번호_마스킹],지니 이,user[전화번호_마스킹],invite_members,,,[],"[""지니 이""]",,,,,,,,,,,,,,,,,,,,,,
81,service,[전화번호_마스킹]T05:00:52,[전화번호_마스킹],mmzzmmzzmmzz,user[전화번호_마스킹],invite_members,,,[],"[""mmzzmmzzmmzz""]",,,,,,,,,,,,,,,,,,,,,,
83,service,[전화번호_마스킹]T06:22:20,[전화번호_마스킹],방벳영원한시간,user[전화번호_마스킹],invite_members,,,[],"[""방벳영원한시간""]",,,,,,,,,,,,,,,,,,,,,,
85,service,[전화번호_마스킹]T06:28:23,[전화번호_마스킹],58541 임,user[전화번호_마스킹],invite_members,,,[],"[""58541 임""]",,,,,,,,,,,,,,,,,,,,,,
87,service,[전화번호_마스킹]T06:48:07,[전화번호_마스킹],신 희철,user[전화번호_마스킹],invite_members,,,[],"[""신 희철""]",,,,,,,,,,,,,,,,,,,,,,
89,service,[전화번호_마스킹]T06:50:39,[전화번호_마스킹],Jack Black,user[전화번호_마스킹],invite_members,,,[],"[""Jack Black""]",,,,,,,,,,,,,,,,,,,,,,
91,service,[전화번호_마스킹]T06:56:35,[전화번호_마스킹],신 희철,user[전화번호_마스킹],remove_members,,,[],"[""신 희철""]",,,,,,,,,,,,,,,,,,,,,,
92,service,[전화번호_마스킹]T07:12:15,[전화번호_마스킹],CW Jang,user[전화번호_마스킹],invite_members,,,[],"[""CW Jang""]",,,,,,,,,,,,,,,,,,,,,,
94,service,[전화번호_마스킹]T07:29:23,[전화번호_마스킹],조우현(지당),user[전화번호_마스킹],invite_members,,,[],"[""조우현(지당)""]",,,,,,,,,,,,,,,,,,,,,,
96,service,[전화번호_마스킹]T07:31:45,[전화번호_마스킹],조우현(지당),user[전화번호_마스킹],remove_members,,,[],"[""조우현(지당)""]",,,,,,,,,,,,,,,,,,,,,,
97,service,[전화번호_마스킹]T07:46:54,[전화번호_마스킹],DH,user[전화번호_마스킹],invite_members,,,[],"[""DH""]",,,,,,,,,,,,,,,,,,,,,,
99,service,[전화번호_마스킹]T07:47:33,[전화번호_마스킹],DH,user[전화번호_마스킹],remove_members,,,[],"[""DH""]",,,,,,,,,,,,,,,,,,,,,,
100,service,[전화번호_마스킹]T08:02:06,[전화번호_마스킹],fabrikam,user39239714,invite_members,,,[],"[""fabrikam""]",,,,,,,,,,,,,,,,,,,,,,
102,service,[전화번호_마스킹]T08:07:54,[전화번호_마스킹],윤,user[전화번호_마스킹],invite_members,,,[],"[""윤""]",,,,,,,,,,,,,,,,,,,,,,
104,service,[전화번호_마스킹]T08:20:17,[전화번호_마스킹],나트랑밤깨비,user[전화번호_마스킹],invite_members,,,[],"[""나트랑밤깨비""]",,,,,,,,,,,,,,,,,,,,,,
106,service,[전화번호_마스킹]T08:24:54,[전화번호_마스킹],박사장,user[전화번호_마스킹],invite_members,,,[],"[""박사장""]",,,,,,,,,,,,,,,,,,,,,,
108,service,[전화번호_마스킹]T08:25:33,[전화번호_마스킹],윤,user[전화번호_마스킹],remove_members,,,[],"[""윤""]",,,,,,,,,,,,,,,,,,,,,,
