id,type,date,date_unixtime,actor,actor_id,action,title,text,text_entities,from,from_id,photo,photo_file_size,width,height,edited,edited_unixtime,reactions,message_id,forwarded_from,forwarded_from_id,file,file_name,file_size,thumbnail,thumbnail_file_size,media_type,sticker_emoji,mime_type,poll,duration_seconds
1,service,2019-08-12T16:51:38,1565596298,베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel1275806551,create_channel,하노이 북부지역 업소,,[],,,,,,,,,,,,,,,,,,,,,,
2,message,2019-08-12T16:53:37,1565596417,,,,,하노이 업소 광고 채널,"[{""type"": ""plain"", ""text"": ""하노이 업소 광고 채널""}]",베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel1275806551,,,,,,,,,,,,,,,,,,,,
3,message,2019-08-12T16:55:34,1565596534,,,,,,[],베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel1275806551,(File not included. Change data exporting settings to download.),209251,1075,1280,,,,,,,,,,,,,,,,
6,message,2019-08-12T16:58:18,1565596698,,,,,,[],베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel1275806551,(File not included. Change data exporting settings to download.),195866,891,1260,,,,,,,,,,,,,,,,
10,message,2019-08-12T16:59:05,1565596745,,,,,,[],베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel1275806551,(File not included. Change data exporting settings to download.),110718,456,1280,,,,,,,,,,,,,,,,
12,message,2019-08-12T16:59:35,1565596775,,,,,,[],베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel1275806551,(File not included. Change data exporting settings to download.),237361,891,1260,,,,,,,,,,,,,,,,
23,message,2019-08-12T17:01:48,1565596908,,,,,,[],베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel1275806551,(File not included. Change data exporting settings to download.),220291,891,1260,,,,,,,,,,,,,,,,
24,message,2019-08-12T17:02:16,1565596936,,,,,,[],베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel1275806551,(File not included. Change data exporting settings to download.),135209,750,1260,,,,,,,,,,,,,,,,
25,message,2019-08-12T17:02:17,1565596937,,,,,,[],베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel1275806551,(File not included. Change data exporting settings to download.),144125,750,1260,,,,,,,,,,,,,,,,
26,message,2019-08-12T17:02:18,1565596938,,,,,,[],베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel1275806551,(File not included. Change data exporting settings to download.),110702,750,1260,,,,,,,,,,,,,,,,
27,message,2019-08-12T17:02:50,1565596970,,,,,,[],베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel1275806551,(File not included. Change data exporting settings to download.),112121,750,1260,,,,,,,,,,,,,,,,
