id,type,date,date_unixtime,actor,actor_id,action,title,text,text_entities,from,from_id,photo,photo_file_size,width,height,edited,edited_unixtime,reactions,message_id,forwarded_from,forwarded_from_id,file,file_name,file_size,thumbnail,thumbnail_file_size,media_type,sticker_emoji,mime_type,poll,duration_seconds
1,service,[전화번호_마스킹]T16:51:38,[전화번호_마스킹],베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel[전화번호_마스킹],create_channel,하노이 북부지역 업소,,[],,,,,,,,,,,,,,,,,,,,,,
2,message,[전화번호_마스킹]T16:53:37,[전화번호_마스킹],,,,,하노이 업소 광고 채널,"[{""type"": ""plain"", ""text"": ""하노이 업소 광고 채널""}]",베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel[전화번호_마스킹],,,,,,,,,,,,,,,,,,,,
3,message,[전화번호_마스킹]T16:55:34,[전화번호_마스킹],,,,,,[],베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel[전화번호_마스킹],(File not included. Change data exporting settings to download.),209251,1075,1280,,,,,,,,,,,,,,,,
6,message,[전화번호_마스킹]T16:58:18,[전화번호_마스킹],,,,,,[],베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel[전화번호_마스킹],(File not included. Change data exporting settings to download.),195866,891,1260,,,,,,,,,,,,,,,,
10,message,[전화번호_마스킹]T16:59:05,[전화번호_마스킹],,,,,,[],베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel[전화번호_마스킹],(File not included. Change data exporting settings to download.),110718,456,1280,,,,,,,,,,,,,,,,
12,message,[전화번호_마스킹]T16:59:35,[전화번호_마스킹],,,,,,[],베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel[전화번호_마스킹],(File not included. Change data exporting settings to download.),237361,891,1260,,,,,,,,,,,,,,,,
23,message,[전화번호_마스킹]T17:01:48,[전화번호_마스킹],,,,,,[],베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel[전화번호_마스킹],(File not included. Change data exporting settings to download.),220291,891,1260,,,,,,,,,,,,,,,,
24,message,[전화번호_마스킹]T17:02:16,[전화번호_마스킹],,,,,,[],베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel[전화번호_마스킹],(File not included. Change data exporting settings to download.),135209,750,1260,,,,,,,,,,,,,,,,
25,message,[전화번호_마스킹]T17:02:17,[전화번호_마스킹],,,,,,[],베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel[전화번호_마스킹],(File not included. Change data exporting settings to download.),144125,750,1260,,,,,,,,,,,,,,,,
26,message,[전화번호_마스킹]T17:02:18,[전화번호_마스킹],,,,,,[],베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel[전화번호_마스킹],(File not included. Change data exporting settings to download.),110702,750,1260,,,,,,,,,,,,,,,,
27,message,[전화번호_마스킹]T17:02:50,[전화번호_마스킹],,,,,,[],베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel[전화번호_마스킹],(File not included. Change data exporting settings to download.),112121,750,1260,,,,,,,,,,,,,,,,
28,message,[전화번호_마스킹]T17:02:50,[전화번호_마스킹],,,,,,[],베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel[전화번호_마스킹],(File not included. Change data exporting settings to download.),142688,750,1260,,,,,,,,,,,,,,,,
29,message,[전화번호_마스킹]T17:02:51,[전화번호_마스킹],,,,,,[],베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel[전화번호_마스킹],(File not included. Change data exporting settings to download.),160535,750,1260,,,,,,,,,,,,,,,,
30,message,[전화번호_마스킹]T17:02:52,[전화번호_마스킹],,,,,,[],베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel[전화번호_마스킹],(File not included. Change data exporting settings to download.),103353,750,1260,[전화번호_마스킹]T13:23:12,[전화번호_마스킹],"[{""type"": ""emoji"", ""count"": 1, ""emoji"": ""❤""}]",,,,,,,,,,,,,
31,message,[전화번호_마스킹]T17:03:07,[전화번호_마스킹],,,,,"[""광고 페이지\n"", {""type"": ""link"", ""text"": ""https://www.vina-forman.com""}, """"]","[{""type"": ""plain"", ""text"": ""광고 페이지\n""}, {""type"": ""link"", ""text"": ""https://www.vina-forman.com""}, {""type"": ""plain"", ""text"": """"}]",베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel[전화번호_마스킹],,,,,,,,,,,,,,,,,,,,
32,service,[전화번호_마스킹]T17:03:11,[전화번호_마스킹],베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel[전화번호_마스킹],pin_message,,,[],,,,,,,,,,31,,,,,,,,,,,,
37,message,[전화번호_마스킹]T17:06:59,[전화번호_마스킹],,,,,,[],베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel[전화번호_마스킹],(File not included. Change data exporting settings to download.),112716,750,1260,,,,,,,,,,,,,,,,
38,message,[전화번호_마스킹]T17:06:59,[전화번호_마스킹],,,,,,[],베트남청량고추 베트남 밤문화 가라오케 KTV 유흥 업소안내 채널,channel[전화번호_마스킹],(File not included. Change data exporting settings to download.),138550,750,1260,,,,,,,,,,,,,,,,
